Lon,Lat,Clave,Edo,Est,Tmax
-98.39,24.07,ABSTP,TAMPS,Abasolo Tamps.,26.23448276
-99.12,24.08,BR1TP,TAMPS,El Barretal Uno Tamps.,25.58275862
-99.22,24.1,BRRTP,TAMPS,El Barretal Tamps.,26.42413793
-98.9,24.14,PILTP,TAMPS,PilÛn Tamps.,26.33571429
-99.58,24.18,PVLTP,TAMPS,Puerto de Valles Tamps.,23.16785714
-99.56,24.25,PJMTP,TAMPS,Pedro JosÈ MÈndez Tamps.,24.0137931
-99.43,24.25,MHGTP,TAMPS,Miguel Hidalgo Tamps.,24.86071429
-99.55,24.57,MAGTP,TAMPS,Magueyes Tamps.,24.40333333
-98.16,24.84,FDOTP,TAMPS,San Fernando Tamps.,25.05
-97.82,25.64,CONTP,TAMPS,Control Tamps.,23.69230769
-97.8,25.7,VHMTP,TAMPS,Valle Hermoso Tamps.,24.37931034
-97.8,25.8,PANTP,TAMPS,Pueblo An·huac Tamps.,24.30357143
-97.52,25.83,MATTP,TAMPS,Matamoros Tamps.,24.51851852
-97.8,25.91,VCATP,TAMPS,Villa C·rdenas Tamps.,23.89285714
-98.29,26.08,RYATP,TAMPS,S-J-3-42 Reynosa Tamps.,23.61290323
-98.88,26.17,RYNTP,TAMPS,S-J-2-9 Reynosa Tamps.,23.69354839
-98.93,26.2,MRGTP,TAMPS,Marte R. GÛmez Tamps.,24.67741935
-98.6,26.24,CDOTP,TAMPS,S-J-2-18 Ciudad DÌaz Ordaz Tamps.,24.51724138
-99.19,23.73,CVTTP,TAMPS,Ciudad Victoria Tamps.,26.75862069
-99.15,22.99,AHLTP,TAMPS,Ahualulco Tamps.,26.61
-98.98,22.74,CIUDADMANTE,TAMPS,Ciudad Mante Tamps. SMN*,27.82580645
-99.38,23.41,JAUMAVE,TAMPS,Jaumave Tamps. SMN*,26.06
-99.13,23.73,CVICTORIAob,TAMPS,Observatorio de Ciudad Victoria Tamps.SMN*,27.648
-98.94,23.94,CORTP,TAMPS,Corona Tamps.,26.77857143
-98.84,26.31,SANJUAN2,TAMPS,San Juan Tamps. SGT*,24.725
-98.21,23.76,SOTOLAMARINAob,TAMPS,Observatorio de Soto La Marina Tamps. SMN*,26.77777778
-97.77,23.79,LAPESCAMAR,TAMPS,La Pesca Tamps. SEMAR*,24.11034483
-97.15,25.82,MATAMOROSMAR,TAMPS,Matamoros Tamps. SEMAR*,22.71333333
-97.52,25.88,MA2TP,TAMPS,Matamoros Tamps. SMN*,24.47142857
-97.91,19.2,ZITTL,TLAX,Zitlaltepec Tlax.,20.77419355
-98.24,19.22,ZACTL,TLAX,Zacatelco Tlax.,22.9516129
-97.77,19.3,CUATL,TLAX,Cuapiaxtla Tlax.,22.25806452
-98.23,19.32,TLAXCALAob,TLAX,Observatorio de Tlaxcala Tlax. SMN*,23.1875
-97.65,19.32,ECTTL,TLAX,El Carmen Tequexquitla Tlax.,21.4516129
-98.25,19.32,OBSTL,TLAX,Observatorio de Tlaxcala Tlax.,22.64482759
-98.2,19.56,SJATL,TLAX,San JosÈ Atlanga Tlax.,19.53870968
-98.56,19.59,CPPTL,TLAX,Calpulalpan Tlax.,20.89655172
-98.03,19.14,MALINCHEII,TLAX,La Malinche 2 Tlax. SMN*,19.34193548
-98.04,19.3,MALINCHEI,TLAX,La Malinche 1 Tlax. SMN*,15.94193548
-97.95,19.31,HUATL,TLAX,Huamantla Tlax. SMN*,21.37741935
-97.91,19.32,HMTTL,TLAX,Huamantla Tlax.,21.53333333
-98.1,19.4,APITL,TLAX,Apizaco Tlax.,21.69677419
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,26.06896552
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,21.56
-96.39,19.26,LOFVC,VER,Loma Fina Ver.,29.68965517
-96.95,19.23,TOTVC,VER,Totutla Ver.,21.48275862
-96.97,19.55,OTIVC,VER,Otilpan Ver.,19.57142857
-94.92,17.42,LPEVC,VER,Las Perlas Ver.,28.62
-95.03,17.43,JCRVC,VER,Jes˙s Carranza Ver.,27.85666667
-94.09,17.87,JDCVC,VER,San JosÈ del Carmen Ver.,27.19333333
-95.13,17.88,SJEVC,VER,San Juan Evangelista Ver.,29.10714286
-94.67,17.95,JALVC,VER,Jaltip·n Ver.,29.43478261
-94.4,18.1,COTVC,VER,Coatzacoalcos Ver.,28.06153846
-94.77,18.14,MNZVC,VER,Minzapan Ver.,26.28928571
-95.3,18.14,CTTVC,VER,Coatotolapan Ver.,28
-95.35,18.25,LAUVC,VER,Lauchapan Ver.,26.03448276
-95.56,18.27,GARVC,VER,Garro Ver.,29.39130435
-95.44,18.58,ARCVC,VER,¡ngel Rosario Cabada Ver.,27.38888889
-95.63,18.72,RALVC,VER,Radar Alvarado Ver.,26.98275862
-97.1,18.85,ORZVC,VER,Orizaba Ver.,22.84615385
-97.23,18.92,LGRVC,VER,Loma Grande Ver.,18.17241379
-96.11,19.15,VERVC,VER,Veracruz Ver.,28.08666667
-96.95,19.18,HTSVC,VER,Huatusco Ver.,20.89655172
-96.49,19.34,TAMVC,VER,Tamarindo Ver.,26.32142857
-96.37,19.36,CRDVC,VER,Cardel Ver.,27.64666667
-96.55,19.4,IDOVC,VER,Õdolos Ver.,28.43793103
-97.39,19.41,ZALVC,VER,Zalayeta Ver.,19.53333333
-96.94,19.45,COAVC,VER,Coatepec Ver.,23.06666667
-96.93,19.48,BRIVC,VER,Briones Ver.,19.52592593
-96.59,19.5,ACTVC,VER,Actopan Ver.,27.96551724
-96.92,19.53,XOBVC,VER,Observatorio de Xalapa Ver.,21.83666667
-96.85,19.55,XCFVC,VER,Xalapa CFE Ver.,20.6862069
-97.02,19.6,JOYVC,VER,La Joya Ver.,17.00333333
-97.1,19.65,LVRVC,VER,Las Vigas de RamÌrez Ver.,19.4516129
-96.87,19.65,NAOVC,VER,Naolinco Ver.,20.316
-96.84,19.7,ACAVC,VER,Acatl·n Ver.,18.24137931
-97.23,19.76,ALTVC,VER,Altotonga Ver.,17.51724138
-96.98,20.05,LIBVC,VER,Libertad Ver.,27.24444444
-97.05,20.07,MDTVC,VER,MartÌnez de la Torre Ver.,29.68181818
-98.48,20.53,HUYVC,VER,Huayacocotla Ver.,19.31034483
-97.48,20.54,PRCVC,VER,Poza Rica Ver.,25.73913043
